Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Sat Jun 09 01:01:08 +0000 2018,1.0,0.0,0.0,78
0.0,Sat Jun 09 00:51:04 +0000 2018,1.0,0.0,0.0,79
0.4939,Sat Jun 09 00:48:32 +0000 2018,0.709,0.086,0.205,80
0.0,Sat Jun 09 00:46:00 +0000 2018,1.0,0.0,0.0,81
0.0,Sat Jun 09 00:41:04 +0000 2018,1.0,0.0,0.0,82
-0.4588,Sat Jun 09 00:32:40 +0000 2018,0.857,0.143,0.0,83
-0.6705,Sat Jun 09 00:21:05 +0000 2018,0.744,0.256,0.0,84
-0.0258,Sat Jun 09 00:12:21 +0000 2018,0.788,0.108,0.103,85
0.4019,Sat Jun 09 00:01:06 +0000 2018,0.856,0.0,0.144,86
-0.296,Sat Jun 09 00:01:00 +0000 2018,0.664,0.217,0.119,87
0.4019,Fri Jun 08 23:57:51 +0000 2018,0.828,0.0,0.172,88
-0.296,Fri Jun 08 23:51:05 +0000 2018,0.824,0.176,0.0,89
0.2263,Fri Jun 08 23:46:00 +0000 2018,0.899,0.0,0.101,90
-0.34,Fri Jun 08 23:41:04 +0000 2018,0.876,0.124,0.0,91
0.0,Fri Jun 08 23:41:00 +0000 2018,1.0,0.0,0.0,92
0.0,Fri Jun 08 23:36:04 +0000 2018,1.0,0.0,0.0,93
-0.7269,Fri Jun 08 23:31:10 +0000 2018,0.681,0.319,0.0,94
0.5994,Fri Jun 08 23:26:03 +0000 2018,0.766,0.0,0.234,95
0.765,Fri Jun 08 23:21:07 +0000 2018,0.526,0.145,0.329,96
0.8519,Fri Jun 08 23:16:00 +0000 2018,0.646,0.0,0.354,97
-0.8074,Fri Jun 08 23:11:05 +0000 2018,0.711,0.289,0.0,98
0.7964,Fri Jun 08 23:01:20 +0000 2018,0.722,0.0,0.278,99
0.0,Fri Jun 08 23:01:03 +0000 2018,1.0,0.0,0.0,100
