Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Fri Jun 08 21:00:01 +0000 2018,1.0,0.0,0.0,78
0.4019,Fri Jun 08 20:39:41 +0000 2018,0.863,0.0,0.137,79
0.4215,Fri Jun 08 20:19:40 +0000 2018,0.826,0.0,0.174,80
0.8442,Fri Jun 08 19:59:55 +0000 2018,0.701,0.0,0.299,81
0.0,Fri Jun 08 19:40:04 +0000 2018,1.0,0.0,0.0,82
-0.6369,Fri Jun 08 19:24:50 +0000 2018,0.811,0.189,0.0,83
0.0,Fri Jun 08 19:10:19 +0000 2018,1.0,0.0,0.0,84
-0.6705,Fri Jun 08 18:49:50 +0000 2018,0.78,0.22,0.0,85
0.6846,Fri Jun 08 18:34:57 +0000 2018,0.651,0.08,0.269,86
0.0,Fri Jun 08 18:25:45 +0000 2018,1.0,0.0,0.0,87
0.1531,Fri Jun 08 18:17:08 +0000 2018,0.758,0.106,0.136,88
0.0,Fri Jun 08 18:05:10 +0000 2018,1.0,0.0,0.0,89
-0.7319,Fri Jun 08 17:49:35 +0000 2018,0.618,0.305,0.077,90
0.0,Fri Jun 08 17:34:47 +0000 2018,1.0,0.0,0.0,91
-0.6597,Fri Jun 08 17:19:56 +0000 2018,0.738,0.262,0.0,92
0.5859,Fri Jun 08 17:05:02 +0000 2018,0.758,0.0,0.242,93
0.431,Fri Jun 08 16:54:37 +0000 2018,0.645,0.142,0.213,94
-0.3182,Fri Jun 08 16:35:19 +0000 2018,0.859,0.141,0.0,95
0.4588,Fri Jun 08 16:28:11 +0000 2018,0.85,0.0,0.15,96
-0.1027,Fri Jun 08 16:19:00 +0000 2018,0.928,0.072,0.0,97
0.0,Fri Jun 08 16:14:38 +0000 2018,1.0,0.0,0.0,98
0.4215,Fri Jun 08 15:59:51 +0000 2018,0.882,0.0,0.118,99
-0.4257,Fri Jun 08 15:34:49 +0000 2018,0.872,0.128,0.0,100
